run_name,seed,imin,imax,k,tx_range,nb_nodes,send_interval,objective_function,n_samples,n_observed_nodes,pdr_global_mean,pdr_global_std,pdr_global_min,pdr_global_max,pdr_window_mean,pdr_window_std,pdr_window_min,pdr_window_max,delay_avg_ms_mean,delay_avg_ms_std,delay_avg_ms_min,delay_avg_ms_max,rssi_avg_mean,rssi_avg_std,rssi_avg_min,rssi_avg_max,etx_mean,etx_std,etx_min,etx_max,rank_mean,rank_std,rank_min,rank_max,parent_rank_mean,parent_rank_std,parent_rank_min,parent_rank_max,neighbors_mean,neighbors_std,neighbors_min,neighbors_max,radio_tx_ticks_mean,radio_tx_ticks_std,radio_tx_ticks_min,radio_tx_ticks_max,radio_listen_ticks_mean,radio_listen_ticks_std,radio_listen_ticks_min,radio_listen_ticks_max,radio_tx_percent_mean,radio_tx_percent_std,radio_tx_percent_min,radio_tx_percent_max,radio_listen_percent_mean,radio_listen_percent_std,radio_listen_percent_min,radio_listen_percent_max,energy_cpu_mj_mean,energy_cpu_mj_std,energy_cpu_mj_min,energy_cpu_mj_max,energy_lpm_mj_mean,energy_lpm_mj_std,energy_lpm_mj_min,energy_lpm_mj_max,energy_radio_tx_mj_mean,energy_radio_tx_mj_std,energy_radio_tx_mj_min,energy_radio_tx_mj_max,energy_radio_rx_mj_mean,energy_radio_rx_mj_std,energy_radio_rx_mj_min,energy_radio_rx_mj_max,energy_estimated_mj_mean,energy_estimated_mj_std,energy_estimated_mj_min,energy_estimated_mj_max
run_1869_cfg_623_seed_3_of0,3,10,20,5,50.0,16,20,OF0,855,15,99.99376608187134,0.10933519147152485,97.14,100.0,100.0,0.0,100.0,100.0,145.9391812865497,78.77856225219715,23,380,-74.41754385964913,11.408321916417023,-94,-52,1.0267719298245614,0.06149285031378897,1.0,1.5,3.7485380116959064,1.4129443706365814,2,7,2.7415204678362572,1.4016868490169418,1,6,4.8,1.3767898718715428,3,7,79702.98011695906,87594.36402093813,10224,521416,59920297.019883044,87594.34269547006,59478584,59989776,0.13283830005592046,0.14599060568880035,0.01704,0.8690266666666666,99.86716169994408,0.14599060568880082,99.13097333333334,99.98295999999999,90.0,0.0001196284646520242,89.99752799999999,90.002472,0.0,0.0,0.0,0.0,4.160495562105263,4.572425801892971,0.5336928,27.217915199999997,3379.5047519214036,4.940320928024517,3354.5921376,3383.4233664000003,3473.665247483509,0.3679219704446803,3471.8100528,3473.9570592000005
run_1879_cfg_627_seed_1_mrhof,1,10,20,5,60.0,12,10,MRHOF,627,11,99.98255183413077,0.3004855417608922,92.85,100.0,100.0,0.0,100.0,100.0,94.9505582137161,39.110751798417546,32,216,-68.9090909090909,14.896008974135896,-93,-54,1.0095693779904307,0.03514878762713184,1.0,1.45,2.8181818181818183,0.7163904098224002,2,4,1.8181818181818181,0.7163904098224003,1,3,5.818181818181818,2.3302678229409053,1,9,84249.59489633174,121783.40118043688,25560,526504,59915742.366826154,121780.74262359657,59473496,59974440,0.14041600076547844,0.20297233204258242,0.0426,0.8775066666666667,99.85958399923452,0.20297233204258136,99.12249333333332,99.95739999999999,89.99998794258373,0.0003019173181322119,89.99244,90.0,0.0,0.0,0.0,0.0,4.397828853588517,6.3570935416188075,1.3342319999999999,27.483508799999996,3379.2478694889955,6.868433883970869,3354.3051744000004,3382.5584160000008,3473.645686285168,0.5114594895559738,3471.7886832000004,3473.892648000001
run_1880_cfg_627_seed_2_mrhof,2,10,20,5,60.0,12,10,MRHOF,627,11,99.73719298245614,0.8412684964656483,92.0,100.0,99.94682615629985,1.331471347406061,66.66,100.0,94.14194577352472,39.296862438188015,28,200,-67.45454545454545,13.876420259201986,-93,-51,1.0113875598086124,0.03218588241920742,1.0,1.27,2.8181818181818183,0.7163904098224001,2,4,1.8181818181818181,0.7163904098224001,1,3,5.818181818181818,2.3302678229409066,1,9,84493.93301435407,63661.36148328944,25560,254400,59915506.066985644,63660.14987562653,59745600,59974440,0.140823217189382,0.10610224082751844,0.0426,0.424,99.85917678281062,0.1061022408275174,99.576,99.95739999999999,90.0,0.0006211257223296589,89.99151599999999,90.008484,0.0,0.0,0.0,0.0,4.410583303349282,3.3231230694277074,1.3342319999999999,13.27968,3379.234542177991,3.590432452985317,3369.6518400000004,3382.5584160000008,3473.64512548134,0.26830291787115323,3472.8168264000005,3473.892648000001
run_1881_cfg_627_seed_3_mrhof,3,10,20,5,60.0,12,10,MRHOF,627,11,99.99647527910686,0.046233716014693386,99.15,100.0,100.0,0.0,100.0,100.0,94.37639553429027,39.248596781125755,31,200,-64.93620414673046,13.529605932424337,-93,-51,1.0083094098883574,0.027638930919391028,1.0,1.36,2.8181818181818183,0.7163904098224005,2,4,1.8181818181818181,0.7163904098224004,1,3,5.818181818181818,2.330267822940906,1,9,84306.48803827752,82219.20006378589,25560,319608,59915693.51196172,82220.40166546141,59680392,59974440,0.14051081324784412,0.1370320043547103,0.0426,0.5326799999999999,99.85948918675216,0.13703200435470925,99.46732,99.95739999999999,90.0,0.0006858964796743031,89.99151599999999,90.008484,0.0,0.0,0.0,0.0,4.400798675598086,4.291842243329622,1.3342319999999999,16.6835376,3379.245114074641,4.637230653932048,3365.9741088,3382.5584160000008,3473.6459127502394,0.3463300531247624,3472.6576464,3473.9036856000007
run_1882_cfg_628_seed_1_of0,1,10,20,5,60.0,12,10,OF0,627,11,99.98408293460925,0.27285716894450235,93.33,100.0,100.0,0.0,100.0,100.0,95.22966507177034,39.06047020499432,29,194,-70.59808612440192,14.859121062813376,-93,-54,1.0081977671451356,0.025755779675631692,1.0,1.27,2.8181818181818183,0.7163904098224002,2,4,1.8181818181818181,0.7163904098224003,1,3,5.818181818181818,2.3302678229409053,1,9,84126.39234449761,98463.65127722325,25560,436952,59915873.6076555,98463.651277223,59563048,59974440,0.140210653907496,0.16410608546203864,0.0426,0.7282533333333333,99.8597893460925,0.16410608546203778,99.27174666666667,99.95739999999999,90.0,0.0,90.0,90.0,0.0,0.0,0.0,0.0,4.391397680382775,5.1398025966710525,1.3342319999999999,22.8088944,3379.255271471771,5.553349932035403,3359.3559072000003,3382.5584160000008,3473.646669152153,0.41354733536438953,3472.1648016000004,3473.892648000001
run_1883_cfg_628_seed_2_of0,2,10,20,5,60.0,12,10,OF0,627,11,99.98834130781499,0.17497729181799854,96.15,100.0,100.0,0.0,100.0,100.0,99.274322169059,45.99775686618123,32,270,-65.5805422647528,13.653323075917584,-93,-51,1.0125518341307815,0.03423553693813045,1.0,1.39,3.0191387559808613,0.9640257169559555,2,5,2.017543859649123,0.9632272511149744,1,4,5.818181818181818,2.3302678229409066,1,9,90291.02392344497,62679.78452953357,26656,329832,59909708.97607656,62679.522952582025,59670168,59973344,0.15048503814249253,0.10446630823849247,0.04442666666666666,0.54972,99.84951496185751,0.10446630823849185,99.45028,99.95557333333333,90.0,0.00045512594893298527,89.99194800000001,90.00805199999999,0.0,0.0,0.0,0.0,4.713191448803827,3.2718847524416512,1.3914431999999999,17.2172304,3378.907586250718,3.5351250945257378,3365.3974752,3382.4966016000003,3473.6207776995216,0.2637830794918579,3472.6147056,3474.1582968000002
run_1884_cfg_628_seed_3_of0,3,10,20,5,60.0,12,10,OF0,627,11,99.98829346092505,0.17623717864311214,96.0,100.0,100.0,0.0,100.0,100.0,94.57575757575758,39.13908090614236,30,189,-66.85645933014354,14.162175771660257,-93,-54,1.0096650717703348,0.03014951202249408,1.0,1.23,2.8181818181818183,0.7163904098224005,2,4,1.8181818181818181,0.7163904098224004,1,3,5.818181818181818,2.330267822940906,1,9,84227.5980861244,98538.22801370549,25560,444752,59915772.401913874,98538.22801370549,59555248,59974440,0.14037933014354068,0.16423038002284254,0.0426,0.7412533333333333,99.85962066985645,0.16423038002284204,99.25874666666667,99.95739999999999,90.0,0.0,90.0,90.0,0.0,0.0,0.0,0.0,4.396680620095694,5.14369550231543,1.3342319999999999,23.216054399999997,3379.249563467943,5.55755605997298,3358.9159872,3382.5584160000008,3473.6462440880387,0.41386055765760493,3472.1320416,3473.892648000001
run_1885_cfg_629_seed_1_mrhof,1,10,20,5,60.0,12,20,MRHOF,627,11,99.97755980861244,0.3269418921003957,94.11,100.0,100.0,0.0,100.0,100.0,94.42105263157895,40.19335937127356,29,233,-69.9090909090909,14.354359368439397,-93,-54,1.0110047846889951,0.035620178293641634,1.0,1.35,2.8181818181818183,0.7163904098224002,2,4,1.8181818181818181,0.7163904098224003,1,3,5.818181818181818,2.3302678229409053,1,9,46287.71929824561,64501.65489536349,10224,315472,59953712.28070176,64501.65489536354,59684528,59989776,0.07714619883040935,0.10750275815893917,0.01704,0.5257866666666666,99.92285380116958,0.10750275815893978,99.47421333333332,99.98295999999999,90.0,0.0,90.0,90.0,0.0,0.0,0.0,0.0,2.416218947368421,3.366986385537974,0.5336928,16.4676384,3381.389372631579,3.6378933360985526,3366.2073792000006,3383.4233664000003,3473.805591578948,0.27090695056056535,3472.6750176000005,3473.9570592000005
run_1886_cfg_629_seed_2_mrhof,2,10,20,5,60.0,12,20,MRHOF,627,11,99.99470494417862,0.08805332045917846,98.0,100.0,100.0,0.0,100.0,100.0,93.67783094098884,41.06192086116325,23,249,-67.57575757575758,14.320004970546345,-93,-51,1.0155502392344498,0.03994975213477016,1.0,1.3,2.8181818181818183,0.7163904098224001,2,4,1.8181818181818181,0.7163904098224001,1,3,5.818181818181818,2.3302678229409066,1,9,46447.5023923445,31684.858365928103,10736,132440,59953552.497607656,31686.749467496564,59867560,59989264,0.07741250423419263,0.05280809770180966,0.017893333333333334,0.22073333333333334,99.9225874957658,0.052808097701809276,99.77926666666667,99.98210666666667,90.0,0.0004795440326325147,89.99151599999999,90.008484,0.0,0.0,0.0,0.0,2.4245596248803825,1.6539496067014476,0.5604192,6.913367999999999,3381.380360865072,1.787132669966783,3376.530384,3383.3944896000003,3473.8049204899526,0.1343735590370043,3473.443752,3474.1170792000003
run_1887_cfg_629_seed_3_mrhof,3,10,20,5,60.0,12,20,MRHOF,627,11,99.80381180223286,0.9097129324556814,87.5,100.0,100.0,0.0,100.0,100.0,93.6427432216906,40.25700134534293,24,210,-67.45454545454545,14.239140503453287,-93,-51,1.01481658692185,0.04138678130667494,1.0,1.42,2.819776714513557,0.7201290804820767,2,5,1.8181818181818181,0.7163904098224004,1,3,5.818181818181818,2.330267822940906,1,9,46550.609250398724,43950.18706657943,10224,203952,59953449.3907496,43950.565079896725,59796048,59989776,0.07758434896314156,0.0732503117179556,0.01704,0.33992,99.92241565103686,0.07325031171795737,99.66008,99.98295999999999,90.0,0.00020077091040891188,89.996448,90.003552,0.0,0.0,0.0,0.0,2.4299418028708133,2.294199764875446,0.5336928,10.646294399999999,3381.374545638278,2.478811870506211,3372.4971072,3383.4233664000003,3473.804487441149,0.1847634720459835,3473.1434016,3474.0694704000007
run_1888_cfg_630_seed_1_of0,1,10,20,5,60.0,12,20,OF0,627,11,99.98641148325359,0.3091951466594592,92.3,100.0,100.0,0.0,100.0,100.0,93.82137161084529,40.25755725732178,24,228,-69.24242424242425,14.748539296013575,-93,-54,1.0103668261563,0.0366926538508718,1.0,1.36,2.819776714513557,0.7201290804820769,2,5,1.8181818181818181,0.7163904098224003,1,3,5.818181818181818,2.3302678229409053,1,9,46162.066985645935,64298.02376475512,10224,315216,59953846.95374801,64264.58206381268,59684784,59989872,0.07693670567484169,0.10716310175125977,0.01704,0.5253599999999999,99.92306329432516,0.1071631017512602,99.47464000000001,99.98295999999999,90.00001353110048,0.00048615316310051185,89.99383200000001,90.008484,0.0,0.0,0.0,0.0,2.4096598966507177,3.356356840520217,0.5336928,16.4542752,3381.3969681913877,3.624522428399043,3366.2218176000006,3383.4287808,3473.806641619139,0.26871733175769547,3472.676092800001,3474.1782768
run_1889_cfg_630_seed_2_of0,2,10,20,5,60.0,12,20,OF0,627,11,99.80114832535885,0.9617932642081995,85.71,100.0,99.94682615629985,1.3314713474060609,66.66,100.0,93.0829346092504,39.338331090321496,23,200,-67.44657097288676,13.883527378594794,-93,-51,1.0108931419457736,0.03538243459870434,1.0,1.28,3.006379585326954,0.9641948433487922,2,6,2.006379585326954,0.9641948433487922,1,5,5.818181818181818,2.3302678229409066,1,9,46331.02392344498,33582.63701297789,10736,133152,59953668.97607656,33580.79296061369,59866848,59989264,0.07721837007846817,0.055971052048921784,0.017893333333333334,0.22192,99.92278162992153,0.0559710520489242,99.77808,99.98210666666667,90.0,0.00047888400617884536,89.9919,90.00810000000001,0.0,0.0,0.0,0.0,2.4184794488038275,1.7530136520774464,0.5604192,6.950534399999999,3381.386930250718,1.8939567229786283,3376.4902272,3383.3944896000003,3473.8054096995215,0.14206007651971583,3473.4050328000008,3473.9669496
run_1890_cfg_630_seed_3_of0,3,10,20,5,60.0,12,20,OF0,627,11,99.98497607655503,0.22807737407321932,94.73,100.0,100.0,0.0,100.0,100.0,93.86124401913875,41.48587904469768,21,218,-69.52312599681021,15.06781341386844,-93,-51,1.0193301435406699,0.05520682373620204,1.0,1.6,2.8341307814992027,0.7485338184995834,2,6,1.8309409888357258,0.7456795095863313,1,5,5.818181818181818,2.330267822940906,1,9,46660.4019138756,35277.368274865796,10736,159000,59953339.598086126,35277.36827486557,59841000,59989264,0.077767336523126,0.05879561379144294,0.017893333333333334,0.265,99.92223266347688,0.05879561379144347,99.735,99.98210666666667,90.0,0.0,90.0,90.0,0.0,0.0,0.0,0.0,2.435672979904306,1.8414786239479939,0.5604192,8.2998,3381.3683533320577,1.9896435707024478,3375.0324,3383.3944896000003,3473.8040263119624,0.14816494675448555,3473.3322,3473.9549088000003
run_1891_cfg_631_seed_1_of0,1,10,20,5,60.0,16,20,OF0,855,15,99.81139181286551,0.8408138717408377,85.71,100.0,99.88301754385965,1.9725772840063949,66.66,100.0,121.03040935672514,57.50168727141312,24,299,-69.89590643274853,12.895714648324104,-94,-54,1.0181988304093568,0.04681452514378836,1.0,1.39,3.2736842105263158,1.0127743186588731,2,6,2.271345029239766,1.008771804779225,1,5,6.133333333333334,2.2184029109721792,3,10,62502.79298245614,90717.21624810823,10224,455280,59937497.20701754,90717.21624810835,59544720,59989776,0.1041713216374269,0.1511953604135139,0.01704,0.7588,99.89582867836258,0.15119536041351428,99.24119999999999,99.98295999999999,90.0,0.0,90.0,90.0,0.0,0.0,0.0,0.0,3.2626457936842104,4.735438688151248,0.5336928,23.765616,3380.47484247579,5.116450996393338,3358.322208,3383.4233664000003,3473.7374882694744,0.3810123082420985,3472.087824,3473.9570592000005
run_1892_cfg_631_seed_2_of0,2,10,20,5,60.0,16,20,OF0,855,15,99.84426900584796,0.8405166793150802,85.71,100.0,100.0,0.0,100.0,100.0,119.85029239766082,55.623281621505555,24,278,-69.66432748538011,14.305084256427648,-94,-51,1.0191461988304094,0.05817961292115942,1.0,1.59,3.294736842105263,1.044516357602478,2,6,2.285380116959064,1.0324746037227934,1,5,6.133333333333334,2.218402910972179,3,10,62910.530994152046,55955.33430114456,10224,212664,59937089.469005845,55953.10415143701,59787336,59989776,0.10485087984155125,0.09325888179841513,0.01704,0.35444000000000003,99.89514912015844,0.0932588817984142,99.64556,99.98295999999999,90.0,0.0005237321660279567,89.99113200000001,90.008868,0.0,0.0,0.0,0.0,3.2839297178947366,2.9208684505197455,0.5336928,11.101060799999999,3380.4518460519303,3.1557550741409757,3372.0057504000006,3383.4233664000003,3473.735775769825,0.2356887403092042,3473.1068112000007,3473.965917600001
run_1893_cfg_631_seed_3_of0,3,10,20,5,60.0,16,20,OF0,855,15,99.92790643274854,0.5189775036690395,90.0,100.0,99.96100584795322,1.1402039419506342,66.66,100.0,120.03157894736842,57.33888074563446,23,318,-70.06315789473685,14.906680420655862,-94,-51,1.019345029239766,0.05605318251231697,1.0,1.52,3.414035087719298,1.0979177540016158,2,6,2.407017543859649,1.0941391099688902,1,5,6.133333333333334,2.2184029109721783,3,10,63076.145029239764,64470.172394805595,10224,329272,59936923.85497076,64468.67194817279,59670728,59989776,0.10512690485041983,0.10745028594994883,0.01704,0.5487866666666666,99.89487309514958,0.10745028594994825,99.45121333333333,99.98295999999999,90.0,0.00037108052870282737,89.992332,90.007668,0.0,0.0,0.0,0.0,3.2925747705263158,3.365342999008848,0.5336928,17.187998399999998,3380.442505420351,3.6360330978769575,3365.4290592,3383.4233664000003,3473.7350801908774,0.2710390932814012,3472.6170576000004,3474.0662280000006
