timestamp_us,node_id,seq_no,rssi_dbm,pdr_percent,delay_ms
307158920,14,24,-94,100.0,199.0
308348920,6,27,-65,100.0,
308367632,5,29,-94,100.0,377.0
308987920,11,26,-94,100.0,
309134632,2,28,-69,100.0,
309603920,7,27,-65,100.0,96.0
309816920,9,26,-65,100.0,389.0
310422920,10,25,-65,100.0,292.0
310640920,15,23,-65,100.0,192.0
312099920,12,25,-65,100.0,283.0
313994632,3,29,-65,100.0,529.0
314893920,8,28,-94,100.0,
315215632,4,29,-81,100.0,
316216920,16,24,-65,100.0,221.0
316816920,14,25,-94,100.0,179.0
317576920,6,28,-65,100.0,
317743920,13,25,-65,100.0,627.0
318432632,5,30,-94,100.0,358.0
319120920,11,27,-94,100.0,
319799920,7,28,-65,100.0,134.0
319845632,2,29,-69,100.0,
319886920,9,27,-65,100.0,485.0
320698920,10,26,-65,100.0,220.0
321386920,15,24,-65,100.0,184.0
322092920,12,26,-65,100.0,320.0
324188632,3,30,-65,100.0,558.0
325197920,8,29,-94,100.0,
325561632,4,30,-81,100.0,8.0
325656920,16,25,-65,100.0,185.0
327477920,13,26,-65,100.0,573.0
327680920,14,26,-94,100.0,222.0
328350632,5,31,-94,100.0,338.0
328471920,6,29,-65,100.0,
328923920,11,28,-94,100.0,
329277920,9,28,-65,100.0,401.0
330141920,10,27,-65,100.0,256.0
330254920,7,29,-65,100.0,57.0
330390632,2,30,-69,100.0,
330898920,15,25,-65,100.0,210.0
332097920,12,27,-65,100.0,321.0
334227632,3,31,-65,100.0,533.0
335314920,16,26,-65,100.0,218.0
335982920,8,30,-94,100.0,
336365632,4,31,-81,100.0,5.0
336752920,14,27,-94,100.0,128.0
337830920,13,27,-65,100.0,574.0
338515920,11,29,-94,100.0,
338584920,6,30,-65,100.0,
338818632,5,32,-94,100.0,355.0
339431920,9,29,-65,100.0,441.0
339942920,10,28,-65,100.0,249.0
340735632,2,31,-69,100.0,
341026920,7,30,-65,100.0,67.0
341688920,12,28,-65,100.0,314.0
341795920,15,26,-65,100.0,213.0
344229632,3,32,-65,100.0,557.0
345423632,4,32,-81,100.0,3.0
346019920,16,27,-65,100.0,167.0
346309920,14,28,-94,100.0,173.0
346444920,8,31,-94,100.0,
346978920,13,28,-65,100.0,564.0
348043632,5,33,-94,100.0,362.0
348935096,9,30,-65,100.0,376.0
349245920,11,30,-94,100.0,
349372920,10,29,-65,100.0,256.0
349471920,6,31,-65,100.0,
350544632,2,32,-69,100.0,
351538920,7,31,-65,100.0,89.0
351934920,15,27,-65,100.0,238.0
352277920,12,29,-65,100.0,293.0
354425632,3,33,-65,100.0,536.0
355339920,14,29,-94,100.0,173.0
356105920,16,28,-65,100.0,187.0
356232632,4,33,-81,100.0,
357257920,8,32,-94,100.0,
357873920,13,29,-65,100.0,621.0
358593632,5,34,-94,100.0,356.0
359310808,6,32,-65,100.0,
359503920,10,30,-65,100.0,432.0
359545064,9,31,-65,100.0,572.0
359598632,2,33,-69,100.0,
360064920,11,31,-94,100.0,
360890920,7,32,-65,100.0,90.0
362857920,15,28,-65,100.0,195.0
363246920,12,30,-65,100.0,306.0
363800632,3,34,-65,100.0,555.0
365122920,14,30,-94,100.0,165.0
366137632,4,34,-81,100.0,
366301920,16,29,-65,100.0,223.0
368064712,13,30,-65,100.0,655.0
368089920,8,33,-94,100.0,
368636632,5,35,-94,100.0,349.0
368753920,10,31,-65,100.0,365.0
369510920,6,33,-65,100.0,
369543920,9,32,-65,100.0,414.0
369978632,2,34,-69,100.0,
370336920,11,32,-94,100.0,
370989920,7,33,-65,100.0,38.0
372251920,15,29,-65,100.0,182.0
372562920,12,31,-65,100.0,283.0
