run_name,seed,imin,imax,k,tx_range,nb_nodes,send_interval,objective_function,n_samples,pdr_window_mean,delay_avg_ms_mean,rssi_avg_mean,etx_mean,radio_tx_percent_mean,energy_estimated_mj_mean,energy_radio_tx_mj_mean
run_0059_cfg_020_seed_2_of0,2,8,16,0,50.0,16,5,OF0,855,99.92023391812866,158.3625730994152,-72.05730994152047,1.0694269005847954,0.4737443869135978,3472.806164334035,14.837671848421053
run_0060_cfg_020_seed_3_of0,3,8,16,0,50.0,16,5,OF0,855,99.88173099415204,158.39298245614034,-72.23859649122807,1.068877192982456,0.47256240846888,3472.8091427873687,14.80065392842105
run_0061_cfg_021_seed_1_mrhof,1,8,16,0,50.0,16,10,MRHOF,855,99.98050292397662,151.51228070175438,-71.73333333333333,1.042748538011696,0.2557971180046566,3473.3553913094743,8.011565153684211
run_0062_cfg_021_seed_2_mrhof,2,8,16,0,50.0,16,10,MRHOF,855,99.98050292397662,149.92397660818713,-69.84912280701755,1.0321286549707602,0.2583007264292002,3473.3490821726323,8.089978711578947
run_0063_cfg_021_seed_3_mrhof,3,8,16,0,50.0,16,10,MRHOF,855,99.93371929824562,149.59766081871345,-72.13333333333334,1.0320233918128654,0.2539955342157781,3473.3599312392985,7.955140311578947
run_0064_cfg_022_seed_1_of0,1,8,16,0,50.0,16,20,OF0,855,100.0,149.34269005847952,-72.83976608187135,1.0374736842105263,0.1418092318245974,3473.642640735439,4.441465145263157
run_0065_cfg_022_seed_2_of0,2,8,16,0,50.0,16,20,OF0,855,100.0,145.41052631578947,-70.706432748538,1.0208070175438595,0.1400124142295044,3473.647168718597,4.385188783157894
run_0066_cfg_022_seed_3_of0,3,8,16,0,50.0,16,20,OF0,855,99.96100584795322,145.3684210526316,-70.67602339181286,1.0219883040935671,0.139247826858761,3473.6490954722813,4.3612419873684205
run_0076_cfg_026_seed_1_of0,1,8,16,0,60.0,12,5,OF0,627,99.95215311004785,97.92503987240828,-68.01435406698565,1.0151993620414672,0.2602694709605352,3473.34412081914,8.15164124784689
run_0077_cfg_026_seed_2_of0,2,8,16,0,60.0,12,5,OF0,627,99.96631578947368,97.6634768740032,-68.377990430622,1.0205901116427432,0.2623068368623744,3473.338986771292,8.215450128229664
run_0078_cfg_026_seed_3_of0,3,8,16,0,60.0,12,5,OF0,627,99.95215311004785,97.4194577352472,-69.37480063795853,1.015518341307815,0.2611021600364342,3473.3420225607656,8.177719601913875
run_0079_cfg_027_seed_1_mrhof,1,8,16,0,60.0,12,10,MRHOF,627,99.96810207336524,95.72408293460926,-68.9090909090909,1.00933014354067,0.1474952072348841,3473.6283120842118,4.619549810526316
run_0080_cfg_027_seed_2_mrhof,2,8,16,0,60.0,12,10,MRHOF,627,99.97341307814992,94.29346092503988,-69.81818181818181,1.010542264752791,0.1477117241593582,3473.627766445933,4.626331314832536
run_0081_cfg_027_seed_3_mrhof,3,8,16,0,60.0,12,10,MRHOF,627,99.96810207336524,94.94417862838915,-65.9090909090909,1.0076874003189793,0.1476099946836788,3473.628022813397,4.623145033492823
run_0082_cfg_028_seed_1_of0,1,8,16,0,60.0,12,20,OF0,627,100.0,95.3365231259968,-71.20095693779905,1.0142583732057415,0.0844976510318639,3473.787065921532,2.646466403827751
run_0083_cfg_028_seed_2_of0,2,8,16,0,60.0,12,20,OF0,627,100.0,93.50398724082936,-69.51355661881978,1.013237639553429,0.085165933014354,3473.7853818488043,2.667397022009569
run_0084_cfg_028_seed_3_of0,3,8,16,0,60.0,12,20,OF0,627,100.0,92.71291866028707,-68.74322169059012,1.0117065390749602,0.0844525846986011,3473.7871794755984,2.645055088995215
run_0085_cfg_029_seed_1_mrhof,1,8,16,0,60.0,16,5,MRHOF,855,99.75651461988303,127.75087719298246,-69.66666666666667,1.037345029239766,0.3574167322219538,3473.0993098329827,11.194292075789471
run_0086_cfg_029_seed_2_mrhof,2,8,16,0,60.0,16,5,MRHOF,855,99.90722807017544,125.9485380116959,-70.4,1.0356959064327484,0.3577867512108416,3473.0985328477195,11.205881330526315
run_0087_cfg_029_seed_3_mrhof,3,8,16,0,60.0,16,5,MRHOF,855,99.7528187134503,127.8280701754386,-70.13333333333334,1.0337543859649123,0.3569145787064476,3473.1005866133337,11.178564917894736
run_0088_cfg_030_seed_1_of0,1,8,16,0,60.0,16,5,OF0,855,99.86977777777778,127.93918128654973,-68.3438596491228,1.0312514619883042,0.3577790824121004,3473.0983966989475,11.20564102736842
run_0089_cfg_030_seed_2_of0,2,8,16,0,60.0,16,5,OF0,855,99.96491228070175,126.67836257309942,-69.53684210526316,1.032233918128655,0.3577149115840853,3473.098558411228,11.203631174736842
run_0090_cfg_030_seed_3_of0,3,8,16,0,60.0,16,5,OF0,855,99.83705263157894,127.44795321637427,-69.96959064327486,1.03059649122807,0.3560818756602772,3473.1027662456145,11.152485187368422
run_0091_cfg_031_seed_1_of0,1,8,16,0,60.0,16,10,OF0,855,99.93371929824562,121.9298245614035,-70.60818713450293,1.0162923976608187,0.1984895559431914,3473.499806310176,6.216693002105263
run_0092_cfg_031_seed_2_of0,2,8,16,0,60.0,16,10,OF0,855,100.0,121.0,-71.7719298245614,1.0153099415204678,0.1996933487913821,3473.496772760702,6.254395688421052
run_0093_cfg_031_seed_3_of0,3,8,16,0,60.0,16,10,OF0,855,99.9766081871345,121.35906432748538,-69.00584795321637,1.0168654970760234,0.1984539714737926,3473.499895988773,6.215578425263157
run_0094_cfg_032_seed_1_mrhof,1,8,16,0,60.0,16,20,MRHOF,855,100.0,120.16023391812864,-68.86666666666666,1.020093567251462,0.1111143547758284,3473.7199918259653,3.480101591578947
run_0095_cfg_032_seed_2_mrhof,2,8,16,0,60.0,16,20,MRHOF,855,99.96100584795322,118.92280701754386,-72.13333333333334,1.015625730994152,0.111582879463326,3473.7188111494743,3.49477571368421
run_0096_cfg_032_seed_3_mrhof,3,8,16,0,60.0,16,20,MRHOF,855,99.96100584795322,119.86315789473684,-72.0,1.020573099415205,0.1110679145437154,3473.720108856141,3.4786470736842103
run_0097_cfg_033_seed_1_of0,1,8,16,0,60.0,16,20,OF0,855,100.0,121.58830409356725,-71.46432748538011,1.0155789473684211,0.110863948261861,3473.7206228378955,3.4722590147368417
run_0098_cfg_033_seed_2_of0,2,8,16,0,60.0,16,20,OF0,855,100.0,120.48538011695906,-70.78362573099415,1.0262339181286548,0.1124558432447662,3473.716611272983,3.5221170357894733
run_0099_cfg_033_seed_3_of0,3,8,16,0,60.0,16,20,OF0,855,100.0,119.08070175438596,-70.61754385964912,1.0162105263157897,0.1111211234737162,3473.7199747705267,3.480313566315789
run_0112_cfg_038_seed_1_mrhof,1,8,16,5,40.0,12,5,MRHOF,627,99.89122807017544,141.98245614035088,-73.63636363636364,1.0573524720893142,0.4105650309887619,3472.965376099522,12.858897048803827
run_0113_cfg_038_seed_2_mrhof,2,8,16,5,40.0,12,5,MRHOF,627,99.93728867623604,142.0542264752791,-73.36363636363636,1.042902711323764,0.4133643752001138,3472.958321760766,12.946572401913874
run_0114_cfg_038_seed_3_mrhof,3,8,16,5,40.0,12,5,MRHOF,627,99.91846889952151,141.7974481658692,-73.63636363636364,1.0415629984051038,0.4107372539069484,3472.964942139713,12.864290549282297
run_0115_cfg_039_seed_1_of0,1,8,16,5,40.0,12,10,OF0,627,99.9096172248804,136.57416267942585,-73.6555023923445,1.0266507177033493,0.2253336614309569,3473.432159142584,7.05745065645933
run_0116_cfg_039_seed_2_of0,2,8,16,5,40.0,12,10,OF0,627,99.97341307814992,136.4688995215311,-73.377990430622,1.0299362041467304,0.2264696941688738,3473.4292963368425,7.093031242105263
run_0117_cfg_039_seed_3_of0,3,8,16,5,40.0,12,10,OF0,627,99.94151515151516,136.7432216905901,-73.75757575757575,1.028181818181818,0.2257474257591506,3473.431116470814,7.070409577033493
run_0118_cfg_040_seed_1_mrhof,1,8,16,5,40.0,12,20,MRHOF,627,99.86708133971293,134.3237639553429,-73.63636363636364,1.015342902711324,0.1225511323763955,3473.691171146412,3.838301466028708
run_0119_cfg_040_seed_2_mrhof,2,8,16,5,40.0,12,20,MRHOF,627,100.0,134.25996810207337,-73.27272727272727,1.0211323763955342,0.1232628389154704,3473.689377645933,3.860592114832536
run_0120_cfg_040_seed_3_mrhof,3,8,16,5,40.0,12,20,MRHOF,627,100.0,131.89952153110048,-73.63636363636364,1.012695374800638,0.1223215684932629,3473.69174963445,3.8311116861244017
run_0121_cfg_041_seed_1_of0,1,8,16,5,40.0,12,20,OF0,627,100.0,133.51196172248802,-73.59170653907496,1.0208931419457736,0.1233133227006911,3473.689250426795,3.862173266985645
run_0122_cfg_041_seed_2_of0,2,8,16,5,40.0,12,20,OF0,627,100.0,134.03508771929825,-73.27272727272727,1.020909090909091,0.1229714156625485,3473.690112022967,3.851464857416268
run_0123_cfg_041_seed_3_of0,3,8,16,5,40.0,12,20,OF0,627,99.94682615629984,133.8676236044657,-73.63955342902712,1.0192982456140351,0.1232925217819337,3473.689302836364,3.8615218909090903
run_0124_cfg_042_seed_1_mrhof,1,8,16,5,40.0,16,5,MRHOF,855,99.6504678362573,186.79766081871344,-76.95204678362573,1.09659649122807,0.5565800544987822,3472.597418223158,17.432087797894734
run_0125_cfg_042_seed_2_mrhof,2,8,16,5,40.0,16,5,MRHOF,855,99.85808187134504,188.5637426900585,-76.64444444444445,1.109029239766082,0.5615664279528944,3472.584852609123,17.588260429473685
run_0126_cfg_042_seed_3_mrhof,3,8,16,5,40.0,16,5,MRHOF,855,99.62811695906431,187.12280701754383,-76.95906432748538,1.100280701754386,0.5547834606710236,3472.6020402273684,17.375821204210524
run_0127_cfg_043_seed_1_mrhof,1,8,16,5,40.0,16,10,MRHOF,855,99.84794152046784,173.81988304093568,-77.18947368421053,1.0427251461988305,0.2970238463145283,3473.2514999129826,9.302786795789473
run_0128_cfg_043_seed_2_mrhof,2,8,16,5,40.0,16,10,MRHOF,855,99.9766081871345,174.19766081871344,-77.0,1.0485263157894738,0.3000991245902152,3473.243750220351,9.399104404210526
