run_name,config_id,seed,imin,imax,k,tx_range,nb_nodes,send_interval,objective_function,status,rows_added,error
run_0072_cfg_008_seed_2_of0,8,2,8,16,0,40.0,16,5,OF0,SUCCESS,855,
run_0073_cfg_008_seed_3_of0,8,3,8,16,0,40.0,16,5,OF0,SUCCESS,855,
run_0074_cfg_008_seed_4_of0,8,4,8,16,0,40.0,16,5,OF0,SUCCESS,855,
run_0075_cfg_008_seed_5_of0,8,5,8,16,0,40.0,16,5,OF0,SUCCESS,855,
run_0076_cfg_008_seed_6_of0,8,6,8,16,0,40.0,16,5,OF0,SUCCESS,855,
run_0077_cfg_008_seed_7_of0,8,7,8,16,0,40.0,16,5,OF0,SUCCESS,855,
run_0078_cfg_008_seed_8_of0,8,8,8,16,0,40.0,16,5,OF0,SUCCESS,854,
run_0079_cfg_008_seed_9_of0,8,9,8,16,0,40.0,16,5,OF0,SUCCESS,855,
run_0080_cfg_008_seed_10_of0,8,10,8,16,0,40.0,16,5,OF0,SUCCESS,855,
run_0081_cfg_009_seed_1_mrhof,9,1,8,16,0,40.0,16,10,MRHOF,SUCCESS,855,
run_0082_cfg_009_seed_2_mrhof,9,2,8,16,0,40.0,16,10,MRHOF,SUCCESS,855,
run_0083_cfg_009_seed_3_mrhof,9,3,8,16,0,40.0,16,10,MRHOF,SUCCESS,855,
run_0084_cfg_009_seed_4_mrhof,9,4,8,16,0,40.0,16,10,MRHOF,SUCCESS,855,
run_0085_cfg_009_seed_5_mrhof,9,5,8,16,0,40.0,16,10,MRHOF,SUCCESS,855,
run_0086_cfg_009_seed_6_mrhof,9,6,8,16,0,40.0,16,10,MRHOF,SUCCESS,855,
run_0087_cfg_009_seed_7_mrhof,9,7,8,16,0,40.0,16,10,MRHOF,SUCCESS,855,
run_0088_cfg_009_seed_8_mrhof,9,8,8,16,0,40.0,16,10,MRHOF,SUCCESS,855,
run_0089_cfg_009_seed_9_mrhof,9,9,8,16,0,40.0,16,10,MRHOF,SUCCESS,855,
run_0090_cfg_009_seed_10_mrhof,9,10,8,16,0,40.0,16,10,MRHOF,SUCCESS,855,
run_0091_cfg_010_seed_1_of0,10,1,8,16,0,40.0,16,10,OF0,SUCCESS,855,
run_0092_cfg_010_seed_2_of0,10,2,8,16,0,40.0,16,10,OF0,SUCCESS,855,
run_0093_cfg_010_seed_3_of0,10,3,8,16,0,40.0,16,10,OF0,SUCCESS,855,
run_0094_cfg_010_seed_4_of0,10,4,8,16,0,40.0,16,10,OF0,SUCCESS,855,
run_0095_cfg_010_seed_5_of0,10,5,8,16,0,40.0,16,10,OF0,SUCCESS,855,
run_0096_cfg_010_seed_6_of0,10,6,8,16,0,40.0,16,10,OF0,SUCCESS,855,
run_0097_cfg_010_seed_7_of0,10,7,8,16,0,40.0,16,10,OF0,SUCCESS,855,
run_0098_cfg_010_seed_8_of0,10,8,8,16,0,40.0,16,10,OF0,SUCCESS,855,
run_0099_cfg_010_seed_9_of0,10,9,8,16,0,40.0,16,10,OF0,SUCCESS,855,
run_0100_cfg_010_seed_10_of0,10,10,8,16,0,40.0,16,10,OF0,SUCCESS,855,
run_0101_cfg_011_seed_1_of0,11,1,8,16,0,40.0,16,20,OF0,SUCCESS,855,
run_0102_cfg_011_seed_2_of0,11,2,8,16,0,40.0,16,20,OF0,SUCCESS,855,
run_0103_cfg_011_seed_3_of0,11,3,8,16,0,40.0,16,20,OF0,SUCCESS,855,
run_0104_cfg_011_seed_4_of0,11,4,8,16,0,40.0,16,20,OF0,SUCCESS,855,
run_0105_cfg_011_seed_5_of0,11,5,8,16,0,40.0,16,20,OF0,SUCCESS,855,
run_0106_cfg_011_seed_6_of0,11,6,8,16,0,40.0,16,20,OF0,SUCCESS,855,
run_0107_cfg_011_seed_7_of0,11,7,8,16,0,40.0,16,20,OF0,SUCCESS,855,
run_0108_cfg_011_seed_8_of0,11,8,8,16,0,40.0,16,20,OF0,SUCCESS,855,
run_0109_cfg_011_seed_9_of0,11,9,8,16,0,40.0,16,20,OF0,SUCCESS,855,
run_0110_cfg_011_seed_10_of0,11,10,8,16,0,40.0,16,20,OF0,SUCCESS,855,
run_0111_cfg_012_seed_1_mrhof,12,1,8,16,0,40.0,20,5,MRHOF,FAILED,0,Le simulation_rpl.csc actuel contient seulement 16 nœuds.
run_0112_cfg_012_seed_2_mrhof,12,2,8,16,0,40.0,20,5,MRHOF,FAILED,0,Le simulation_rpl.csc actuel contient seulement 16 nœuds.
run_0113_cfg_012_seed_3_mrhof,12,3,8,16,0,40.0,20,5,MRHOF,FAILED,0,Le simulation_rpl.csc actuel contient seulement 16 nœuds.
run_0114_cfg_012_seed_4_mrhof,12,4,8,16,0,40.0,20,5,MRHOF,FAILED,0,Le simulation_rpl.csc actuel contient seulement 16 nœuds.
run_0115_cfg_012_seed_5_mrhof,12,5,8,16,0,40.0,20,5,MRHOF,FAILED,0,Le simulation_rpl.csc actuel contient seulement 16 nœuds.
run_0116_cfg_012_seed_6_mrhof,12,6,8,16,0,40.0,20,5,MRHOF,FAILED,0,Le simulation_rpl.csc actuel contient seulement 16 nœuds.
run_0117_cfg_012_seed_7_mrhof,12,7,8,16,0,40.0,20,5,MRHOF,FAILED,0,Le simulation_rpl.csc actuel contient seulement 16 nœuds.
run_0118_cfg_012_seed_8_mrhof,12,8,8,16,0,40.0,20,5,MRHOF,FAILED,0,Le simulation_rpl.csc actuel contient seulement 16 nœuds.
run_0119_cfg_012_seed_9_mrhof,12,9,8,16,0,40.0,20,5,MRHOF,FAILED,0,Le simulation_rpl.csc actuel contient seulement 16 nœuds.
run_0120_cfg_012_seed_10_mrhof,12,10,8,16,0,40.0,20,5,MRHOF,FAILED,0,Le simulation_rpl.csc actuel contient seulement 16 nœuds.
run_0121_cfg_013_seed_1_mrhof,13,1,8,16,0,40.0,20,10,MRHOF,FAILED,0,Le simulation_rpl.csc actuel contient seulement 16 nœuds.
run_0122_cfg_013_seed_2_mrhof,13,2,8,16,0,40.0,20,10,MRHOF,FAILED,0,Le simulation_rpl.csc actuel contient seulement 16 nœuds.
run_0123_cfg_013_seed_3_mrhof,13,3,8,16,0,40.0,20,10,MRHOF,FAILED,0,Le simulation_rpl.csc actuel contient seulement 16 nœuds.
run_0124_cfg_013_seed_4_mrhof,13,4,8,16,0,40.0,20,10,MRHOF,FAILED,0,Le simulation_rpl.csc actuel contient seulement 16 nœuds.
run_0125_cfg_013_seed_5_mrhof,13,5,8,16,0,40.0,20,10,MRHOF,FAILED,0,Le simulation_rpl.csc actuel contient seulement 16 nœuds.
run_0126_cfg_013_seed_6_mrhof,13,6,8,16,0,40.0,20,10,MRHOF,FAILED,0,Le simulation_rpl.csc actuel contient seulement 16 nœuds.
run_0127_cfg_013_seed_7_mrhof,13,7,8,16,0,40.0,20,10,MRHOF,FAILED,0,Le simulation_rpl.csc actuel contient seulement 16 nœuds.
run_0128_cfg_013_seed_8_mrhof,13,8,8,16,0,40.0,20,10,MRHOF,FAILED,0,Le simulation_rpl.csc actuel contient seulement 16 nœuds.
run_0129_cfg_013_seed_9_mrhof,13,9,8,16,0,40.0,20,10,MRHOF,FAILED,0,Le simulation_rpl.csc actuel contient seulement 16 nœuds.
run_0130_cfg_013_seed_10_mrhof,13,10,8,16,0,40.0,20,10,MRHOF,FAILED,0,Le simulation_rpl.csc actuel contient seulement 16 nœuds.
run_0131_cfg_014_seed_1_of0,14,1,8,16,0,40.0,20,10,OF0,FAILED,0,Le simulation_rpl.csc actuel contient seulement 16 nœuds.
run_0132_cfg_014_seed_2_of0,14,2,8,16,0,40.0,20,10,OF0,FAILED,0,Le simulation_rpl.csc actuel contient seulement 16 nœuds.
run_0133_cfg_014_seed_3_of0,14,3,8,16,0,40.0,20,10,OF0,FAILED,0,Le simulation_rpl.csc actuel contient seulement 16 nœuds.
run_0134_cfg_014_seed_4_of0,14,4,8,16,0,40.0,20,10,OF0,FAILED,0,Le simulation_rpl.csc actuel contient seulement 16 nœuds.
run_0135_cfg_014_seed_5_of0,14,5,8,16,0,40.0,20,10,OF0,FAILED,0,Le simulation_rpl.csc actuel contient seulement 16 nœuds.
run_0136_cfg_014_seed_6_of0,14,6,8,16,0,40.0,20,10,OF0,FAILED,0,Le simulation_rpl.csc actuel contient seulement 16 nœuds.
run_0137_cfg_014_seed_7_of0,14,7,8,16,0,40.0,20,10,OF0,FAILED,0,Le simulation_rpl.csc actuel contient seulement 16 nœuds.
run_0138_cfg_014_seed_8_of0,14,8,8,16,0,40.0,20,10,OF0,FAILED,0,Le simulation_rpl.csc actuel contient seulement 16 nœuds.
run_0139_cfg_014_seed_9_of0,14,9,8,16,0,40.0,20,10,OF0,FAILED,0,Le simulation_rpl.csc actuel contient seulement 16 nœuds.
run_0140_cfg_014_seed_10_of0,14,10,8,16,0,40.0,20,10,OF0,FAILED,0,Le simulation_rpl.csc actuel contient seulement 16 nœuds.
run_0141_cfg_015_seed_1_of0,15,1,8,16,0,40.0,20,20,OF0,FAILED,0,Le simulation_rpl.csc actuel contient seulement 16 nœuds.
run_0142_cfg_015_seed_2_of0,15,2,8,16,0,40.0,20,20,OF0,FAILED,0,Le simulation_rpl.csc actuel contient seulement 16 nœuds.
run_0143_cfg_015_seed_3_of0,15,3,8,16,0,40.0,20,20,OF0,FAILED,0,Le simulation_rpl.csc actuel contient seulement 16 nœuds.
